Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
2,2017/2018,2,PDS056,8.0,12.4,8.75,8.75,12.0,12.0,41.2,,,15.0,56.2,C+
2,2017/2018,2,PDS057,10.0,15.2,8.75,8.75,14.6,14.6,48.6,,,31.0,79.6,A-
2,2017/2018,2,PDS058,9.0,15.2,10.0,10.0,13.0,13.0,47.2,,,33.0,80.2,A
2,2017/2018,2,PDS059,8.0,8.8,7.5,7.5,12.7,12.7,37.0,,,23.0,60.0,B-
2,2017/2018,2,PDS060,10.0,18.0,8.75,8.75,14.0,14.0,50.8,,,31.0,81.8,A
2,2017/2018,2,PDS061,10.0,16.4,8.75,8.75,16.0,16.0,51.2,,,37.0,88.2,A
2,2017/2018,2,PDS062,7.0,12.0,10.0,10.0,18.0,18.0,47.0,,,31.0,78.0,A-
2,2017/2018,2,PDS063,7.0,11.6,8.75,8.75,14.0,14.0,41.4,,,25.0,66.4,B
2,2017/2018,2,PDS064,10.0,12.0,10.0,10.0,17.0,17.0,49.0,,,23.0,72.0,B+
2,2017/2018,2,PDS065,10.0,15.2,10.0,10.0,18.0,18.0,53.2,,,34.0,87.2,A
2,2017/2018,2,PDS066,10.0,16.4,10.0,10.0,17.0,17.0,53.4,,,31.0,84.4,A
2,2017/2018,2,PDS067,0.0,17.6,5.0,5.0,0.0,0.0,22.6,,,0.0,22.6,F
2,2017/2018,2,PDS068,7.0,8.0,7.5,7.5,12.3,12.3,34.8,,,17.0,51.8,C
2,2017/2018,2,PDS069,7.0,14.8,8.75,8.75,11.3,11.3,41.8,,,35.0,76.8,A-
2,2017/2018,2,PDS070,10.0,14.0,8.75,8.75,13.0,13.0,45.8,,,35.0,80.8,A
2,2017/2018,2,PDS071,10.0,15.6,8.75,8.75,14.6,14.6,49.0,,,31.0,80.0,A
2,2017/2018,2,PDS072,9.0,15.2,8.75,8.75,13.0,13.0,46.0,,,33.0,79.0,A-
2,2017/2018,2,PDS073,8.0,14.2,7.5,7.5,14.0,14.0,43.7,,,21.0,64.7,B-
2,2017/2018,2,PDS074,10.0,14.4,8.75,8.75,18.0,18.0,51.2,,,33.0,84.2,A
