Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,Total Attendance,Attendance Rate
1,2021/2022,9,PDS491,9.0,16,10,10,16,16,51.0,14,16,30,81.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS492,8.5,19,10,10,17,17,54.5,15,16,31,85.5,A,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS493,9.0,15,10,10,14,14,48.0,17,15,32,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS494,7.0,14,10,10,18,18,49.0,13,8,21,70.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS495,7.0,16,8,8,15,15,46.0,15,10,25,71.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS496,7.0,16,10,10,18,18,51.0,18,14,32,83.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS497,9.0,16,10,10,16,16,51.0,16,14,30,81.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS498,7.5,18,9,9,18,18,52.5,10,10,20,72.5,B+,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13,92.9
1,2021/2022,9,PDS499,8.0,20,10,10,17,17,55.0,15,15,30,85.0,A,1,1,1,1,1,0,1,1,1,1,1,1,1,0,12,85.7
1,2021/2022,9,PDS500,8.0,19,10,10,17,17,54.0,17,16,33,87.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS501,8.0,14,10,10,18,18,50.0,15,11,26,76.0,A-,0,0,1,1,1,0,1,1,1,1,1,1,1,1,11,78.6
1,2021/2022,9,PDS502,8.5,18,10,10,15,15,51.5,17,16,33,84.5,A,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS503,10.0,14,8,8,14,14,46.0,15,9,24,70.0,B+,0,1,1,1,0,1,1,1,0,1,1,1,1,1,11,78.6
1,2021/2022,9,PDS504,8.0,17,10,10,16,16,51.0,12,15,27,78.0,A-,1,1,1,1,1,1,1,1,0,1,1,1,1,1,13,92.9
